question,document
What happens to files I edit in Codespaces when the session ends or the VM gets deleted?,610ccb23c0
"Do I need to commit regularly in Codespaces, or can I just leave my changes there?",610ccb23c0
"Will my work in Codespaces disappear if the environment stops, disconnects, or is removed later?",610ccb23c0
Why does WSL2 say the model needs more memory when my PC clearly has enough RAM?,f3dd94f323
How can I make WSL2 use more RAM for running the model?,f3dd94f323
Where exactly do I put the .wslconfig file on Windows to change WSL2 memory limits?,f3dd94f323
What settings should I add to .wslconfig to give WSL2 8GB of memory?,f3dd94f323
"After editing the WSL2 memory config, how do I restart it and check that the new RAM limit is active?",f3dd94f323
"In agentic RAG, what exactly counts as a tool or function that the model can use?",c296ea5a21
"Are tools and functions different things here, or can I treat them as basically the same?",c296ea5a21
When would an LLM decide to call a tool instead of answering directly in agentic RAG?,c296ea5a21
"Can a tool in this setup be something like a search, database query, API call, or calculation?",c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
Which free models can I use if I need tool calling support for my agent?,0d74a3616f
Does Groq have any models with tool use that I can try for free during development?,0d74a3616f
"Besides OpenAI, what providers support tool or function calling for agent workflows?",0d74a3616f
Can I use models like Deepseek R1 or Llama 4 with tools without paying?,0d74a3616f
"Do I need to change my code when switching from OpenAI tools to Groq, Gemini, Mistral, or Ollama?",0d74a3616f
Why am I getting `AttributeError: 'str' object has no attribute 'output'` when I call `responses.create()` with a model that isn't OpenAI's?,9e7b3f0c25
"Does the new Responses API only work with OpenAI models, or can I use it with Mistral, Groq, Gemini, and other providers too?",9e7b3f0c25
"If I'm using a non-OpenAI model, what should I read from the response instead of `response.output`?",9e7b3f0c25
Can I keep using `chat.completions` for the homework or a project if my provider doesn't support the newer API well?,9e7b3f0c25
Do I need to change the tools schema when switching from OpenAI's Responses API to a different provider's chat completion endpoint?,9e7b3f0c25
Why am I still getting the 400 error about missing `tools[0].function` when I use Azure OpenAI in Module 1?,b9c7c6bb34
What does my weather tool JSON need to look like so Azure accepts it without the missing parameter error?,b9c7c6bb34
How should I define `get_weather_tool` for the weather function in the agentic RAG assignment?,b9c7c6bb34
Can you show the correct function-tool schema for `get_weather` with a required city field?,b9c7c6bb34
I keep seeing `invalid_request_error` for `tools[0].function` — what exact JSON change fixes it?,b9c7c6bb34
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is the homework in the GitHub repo or only on the course platform?,53f15299b6
Can you point me to the 2026 Module 1 homework instructions and materials?,53f15299b6
I’m looking for the homework tasks for Module 1 — where are they posted?,53f15299b6
"Do I need the course platform to see the homework, or is everything in GitHub too?",53f15299b6
"Why am I getting an empty list back after filtering my query in HW Q3, and could this be caused by a mistake when indexing the data?",83da208a64
"For the Module 1 homework query filter, do I need to set the index settings before loading the documents, or can I add them later?",83da208a64
My search returns nothing after applying filters in Q3 — is there a step I’m missing in how I create the index and add the data?,83da208a64
"In the homework, if my filtered query keeps coming back empty, should I check whether the index was built correctly before I ran the query?",83da208a64
"What’s the usual reason for an empty result after filtering in this assignment, and how do I fix the indexing part?",83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and how do I fix it?",cfb07a27d5
Do I need to set max_output_tokens manually in the homework code for OpenRouter?,cfb07a27d5
What should I change in rag_helper.py if responses.create() keeps failing with APIStatusError 402?,cfb07a27d5
How do I configure ToyAIKit in Module 1 so OpenRouter does not reject the request?,cfb07a27d5
"Is this 402 problem the same as the 429 quota error from OpenAI, or is OpenRouter handling it differently?",cfb07a27d5
"In Module 1 homework, when people say to point RAG at the chunk index, does that mean I should index the split text instead of the original docs?",b4300adeb1
"For the homework RAG setup, should the search index be built from chunks or from the full documents list?",b4300adeb1
"If my data is in `documents` and `chunks`, which one should I pass to `index.fit()` for the RAG pipeline?",b4300adeb1
Why does the homework hint say to use the chunk index for retrieval instead of searching over complete documents?,b4300adeb1
"When the RAG system retrieves context in Module 1, is it supposed to return only the matching chunks before sending them to the prompt?",b4300adeb1
"For the module 1 homework, do my answers have to match the multiple-choice options exactly?",5e4ca64cb5
"If my numeric result is a little off from the listed answers, should I still pick the nearest one?",5e4ca64cb5
What usually causes small differences between my homework output and the expected option?,5e4ca64cb5
When should I worry that my answer is too far from all the choices in the homework?,5e4ca64cb5
Is there a place I should check for the homework rules and instructions if my answer doesn’t line up?,5e4ca64cb5
Where should I look first when a homework task in Module 1 doesn't make much sense?,7d3a2e3505
"Is the homework only explained on the course platform, or do I need to check the GitHub instructions too?",7d3a2e3505
Why does the Module 1 homework seem different from what we did in the lesson?,7d3a2e3505
What should I do if I still don't understand the homework after reading the instructions?,7d3a2e3505
"When asking for help in Slack, what’s the best way to share my code or command output?",7d3a2e3505
How can I figure out token counts for the Module 1 homework if I'm using a model provider other than OpenAI?,fe8fed31e6
Where should I look in the response object to get input token or prompt token usage for homework solutions?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my LLM provider doesn't give token usage in the response at all?,fe8fed31e6
"For the multiple-choice questions in this module, how should I pick the token count answer if my provider's tokenizer is different?",fe8fed31e6
"What exactly are embeddings in vector search, and why do we convert non-numerical data into numbers?",69430a79a8
How do embeddings preserve meaning and context when turning text or other data into vectors?,69430a79a8
Why should similar pieces of non-numerical data produce similar numerical outputs in an embedding model?,69430a79a8
How does the distance or closeness between embedding values help measure semantic similarity?,69430a79a8
"What are the vector space model and dimensionality reduction, and how are they related to embeddings?",69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3.0.0 bet?,aa3f597424
What should I install to suppress the sentence-transformers warning for this model?,aa3f597424
Is there a way to stop the `model was made on sentence transformers v3.0.0` message from showing up?,aa3f597424
Which version of `sentence-transformers` do I need so this warning disappears?,aa3f597424
"Do I just need to upgrade `sentence-transformers`, and if so what command should I run?",aa3f597424
"Why could the lesson use .dot(...) straight away for similarity, but the homework says to normalize first?",92cd22cada
"Are the embeddings from the model already unit-length, so dot product and cosine similarity are the same there?",92cd22cada
"For TF-IDF plus SVD in the homework, do I need to normalize the vectors before using dot product as similarity?",92cd22cada
What's the difference between using dot product on OpenAI-style embeddings and on classic embeddings like TF-IDF + SVD?,92cd22cada
"If vectors aren't normalized, can I still treat their dot product as cosine similarity?",92cd22cada
"For vector search, do I need to embed the question, the answer, or both?",5c4a8d2e60
"Should I index only the answer text, only the question text, or combine question and answer together?",5c4a8d2e60
"Is there a best way to build embeddings for this dataset, or does it depend on testing?",5c4a8d2e60
Why would embedding just the answer work if the user asks a question later?,5c4a8d2e60
"When comparing embedding strategies, what should I use to choose the winner: hit rate or MRR?",5c4a8d2e60
What exactly does cosine similarity measure between two vectors?,db78580409
How do you calculate similarity between two documents using cosine similarity?,db78580409
Why is cosine similarity common in text analysis and vector search?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Do the vectors need to be non-zero for cosine similarity to work?,db78580409
Why does cosine similarity turn into a dot product once the vectors are normalized?,95feb4e75b
"If all embeddings are unit length, how can we compute cosine similarity faster with matrix multiplication?",95feb4e75b
Why do we normalize the query and document vectors before comparing them in vector search?,95feb4e75b
What exactly changes in cosine similarity when vector magnitudes no longer matter?,95feb4e75b
How does using normalized embeddings make similarity search efficient with a matrix multiply?,95feb4e75b
"For Module 2, do I need to create a whole new GitHub repository, or is a new Codespace enough?",1e829a8c6f
Why does the course recommend making a separate Codespace for the vector search module instead of reusing the old one?,1e829a8c6f
"If I set up Module 2 in a Codespace and later delete it, will my work be lost if I didn’t commit it somewhere?",1e829a8c6f
"Can I just use my existing repository and launch Module 2 from there, or do I have to start over with a fresh repo?",1e829a8c6f
What’s the reason for keeping Module 2 in its own Codespace rather than adding all the vector-search stuff into the Module 1 environment?,1e829a8c6f
Why am I getting a JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return valid JSON instead of wrapping it in code fences or adding extra text?,a3c7e1b4f9
What should I set in the OpenAI chat completion call so json.loads(response) doesn't fail on the answer?,a3c7e1b4f9
How do I tell the prompt to return exactly one JSON object with a questions list and no extra formatting?,a3c7e1b4f9
Is there a provider-specific way to force JSON output in Gemini or Groq the same way as OpenAI response_format?,a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth set in the evaluation part of Module 4?,b8f2d6a30c
What can I do if loading the embedding model makes my Codespaces or laptop run out of memory?,b8f2d6a30c
"Is there a smaller sentence-transformers model I can switch to for embeddings, and will that affect my eval results?",b8f2d6a30c
Would it help to run the embedding step in a separate Python script instead of inside the notebook?,b8f2d6a30c
How can I avoid memory issues when processing the ground-truth data in batches during evaluation?,b8f2d6a30c
Why do I still get rate limit errors when I add `time.sleep(4)` during ground-truth generation?,c1e9f4b820
What can I do if Gemini free tier runs out while I’m building the eval dataset?,c1e9f4b820
"Is it okay to switch to `gpt-4o-mini` for generating embeddings and labels, and why would that help?",c1e9f4b820
How should I reduce the chance of hitting API limits when using a thread pool for this task?,c1e9f4b820
What’s the best way to avoid losing everything if the run stops halfway through because of quota limits?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll error on Windows when importing PyTorch?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the missing fbgemm.dll problem?,15e931476c
Do I need Visual Studio or just VS Code to get past the torch\lib\fbgemm.dll error?,15e931476c
What should I install on Windows if PyTorch says it can't load fbgemm.dll or one of its dependencies?,15e931476c
Where can I read more about the fbgemm.dll import error in PyTorch on Windows?,15e931476c
I'm getting psycopg2 OperationalError in prep.py saying it can't translate host name postgres. What should I change to make it work?,4b65d5542d
"How do I fix the ""could not translate host name postgres to address"" error when I run python prep.py?",4b65d5542d
My .env has POSTGRES_HOST set to postgres and the script fails with OperationalError. What is the correct host value?,4b65d5542d
What should I update in the .env file if psycopg2 says the postgres host cannot be resolved?,4b65d5542d
"When running prep.py, I see a hostname resolution error for postgres. How do I adjust the database connection settings?",4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting should I change in Pandas if I want to see the complete Explanation field in the offline rag evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my long text column, and how can I disable that truncation?",641aedbbf5
Is there a way to stop Pandas from limiting column text to 50 characters when I print a dataframe?,641aedbbf5
What should I use to display the entire judge LLM explanation in a Pandas table without ellipses?,641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each vector in a Pandas Series?,5039707c1a
Can I use apply with NumPy norm to normalize vectors in a dataframe column?,5039707c1a
How would I create a new column with normalized vectors from an existing one?,5039707c1a
What’s the easiest Pandas + NumPy approach for normalizing vector values column by column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
How can I find the 0.75 quantile for one column in a DataFrame?,b4c8ac5a0c
Is there a simple function in Pandas for percentile calculations on a column?,b4c8ac5a0c
How do I compute a percentile value like 75% from a Pandas column?,b4c8ac5a0c
"How do I wipe every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume from the command line?,66ccbb7da0
"Is there a quick terminal command to clean out all containers, images, and volumes in Docker?",66ccbb7da0
What commands should I run if I want to fully reset Docker and remove everything?,66ccbb7da0
How do I make sure a user can only leave one feedback vote per submission in Streamlit?,2e729f1271
Why does my `st.session.submitted` keep getting set back to `True` even after I click a feedback button?,2e729f1271
I want the plus/minus feedback buttons to disable after an ask action — what’s the right way to handle session state for that?,2e729f1271
What causes Streamlit session attributes to be reassigned unexpectedly when I use feedback buttons?,2e729f1271
Is there a fix for `st.session.submitted` being overwritten after one of the feedback buttons is pressed?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails with an OCI runtime error saying it can’t find `streamlit`?,e8df9f0d12
How do I fix the container startup problem for a Streamlit app that runs outside Docker but breaks with docker-compose?,e8df9f0d12
Do I need a Dockerfile and something in docker-compose to get Streamlit working inside the container?,e8df9f0d12
What’s the right way to rebuild a Streamlit app after adding Docker support so docker-compose can launch it properly?,e8df9f0d12
"Can I do the capstone with a teammate, or does each student need to submit their own project?",0fab61eca2
"If two people work on the same system, is that allowed for the capstone or not?",0fab61eca2
Is it okay to discuss a big project idea with classmates and then split it up later?,0fab61eca2
What happens if my project depends on someone else’s part and can’t really be graded separately?,0fab61eca2
"Does the capstone require one independent repository per student, or can multiple students share the same repo?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough for the course?",d5fc98925d
What do attempt 1 and attempt 2 mean in the capstone submission process?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice or feedback, and if so, do they need to be on different topics?",d5fc98925d
"If I miss the first submission window, can I still make the second one, and does submission count without peer reviewing others?",d5fc98925d
"Is the competition itself considered the capstone project, or is capstone something separate?",e892d44e42
Can I do the capstone in a team if I join the math-kaggle-llm competition with others?,e892d44e42
"If I take part in the Kaggle competition, does that automatically cover the capstone requirement?",e892d44e42
"Are group submissions allowed for the capstone, or is it strictly individual even if I compete as a team?",e892d44e42
What's the difference between joining the competition and completing the capstone in this course?,e892d44e42
How will my capstone project be graded once I submit it?,9a2e2d2008
Who checks the project after I turn it in?,9a2e2d2008
Do I also have to review other students’ capstone projects?,9a2e2d2008
What happens if I don’t grade the required number of peer projects?,9a2e2d2008
Is the final score based on all reviewer scores or something like the middle one?,9a2e2d2008
"After the deadline, how do you assign capstone projects for peer review or grading?",eae0fb50aa
"When will we get our review assignments for the capstone, and how many projects does each person get?",eae0fb50aa
What happens once capstone submissions are closed — do we get a list or sheet for grading?,eae0fb50aa
"For the capstone project, how are the projects distributed to participants after submission ends?",eae0fb50aa
"Will there be an Excel sheet for capstone reviews, and is it true each participant gets three projects?",eae0fb50aa
"I already sent in my capstone project, but why am I still unable to review other projects?",a8a7fef016
"After the submission deadline ends, how do the project reviews get assigned to me?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is it decided for me?",a8a7fef016
Why is the review list still empty even though I have already submitted my project?,a8a7fef016
Do project evaluations only become available after the deadline has passed?,a8a7fef016
Where can I find project ideas and dataset suggestions for the capstone project?,e76a70cde3
Is there a GitHub page with datasets and ideas I can use for this project?,e76a70cde3
I’m stuck on the capstone project — where should I look for example ideas and data sources?,e76a70cde3
Can you point me to any page that lists possible project topics and datasets?,e76a70cde3
"Is there a place with tips, guidelines, and some dataset ideas for the project?",e76a70cde3
"For the capstone, do I actually need Airflow, Mage, or Kestra, or is a regular Python script enough?",d4f7c08ea1
"If I build the ingestion part in a Jupyter notebook instead of a script, do I still get full credit?",d4f7c08ea1
Does the project require an orchestration tool just to satisfy the ingestion pipeline requirement?,d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project instead of plain Python?,d4f7c08ea1
Can I skip adding Airflow or another scheduler if my data only needs a simple ingest-and-index flow?,d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don’t have any real ground-truth answers?,9b0e2d6a47
Is there a way to create test queries for each item so I can measure retrieval quality like hit rate or MRR?,9b0e2d6a47
How do people use an LLM as a judge to score end-to-end RAG results on relevance or usefulness?,9b0e2d6a47
"For ranking tasks where more than one item could be acceptable, should I use NDCG instead of plain hit rate?",9b0e2d6a47
What’s a good evaluation setup for a recommendation RAG when I want to check both retrieval and overall answer quality?,9b0e2d6a47
How should I chunk a huge PDF corpus for my RAG project without overthinking it first?,6f2a8b3d10
Is it better to start with fixed token chunks or try LLM-based section splitting right away?,6f2a8b3d10
"Should I keep some overlap between chunks, and roughly how big should each chunk be?",6f2a8b3d10
When is it worth adding chunk summaries or switching to hybrid search instead of plain vector search?,6f2a8b3d10
What tools can I use to turn messy PDFs into cleaner markdown before splitting them up?,6f2a8b3d10
"For the capstone project, what do you mean by reproducibility — do reviewers actually need my API keys to run it?",e5d8a2c761
"Should I include my own hosted-service credentials in the repo, or is there a safer way to handle secrets?",e5d8a2c761
How can I make sure someone can clone my project and rebuild the search index from scratch on their machine?,e5d8a2c761
"What’s the best way to share environment variables for the project without exposing real values, maybe with a .env example file?",e5d8a2c761
Do I need to pin library versions and mention the Python or Docker version so the project can be recreated reliably?,e5d8a2c761
